Date;Mois;Contrepartie;Montant (€);Source;Type;Catégorie;Matched mot_clé;Matched type_condition
2023-02-08 06:22:27;2023-02;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-20000.0;Qonto;;Crowdfunding;CLUBFUNDING - FINANCEMENT PARTICIPATIF;
2023-02-13 12:09:00;2023-02;CORUM EURION;632.37;Qonto;;SCPI;CORUM EURION;
2023-02-14 00:00:00;2023-02;Midjourney Inc.;-323.88;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-02-14 06:18:20;2023-02;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-30000.0;Qonto;;Crowdfunding;CLUBFUNDING - FINANCEMENT PARTICIPATIF;
2023-02-22 10:45:28;2023-02;Mangopay;98600.42;Qonto;;Crowdfunding;Mangopay;
2023-02-23 00:00:00;2023-02;Pk Ptversail Ca;-16.7;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-02-25 00:00:00;2023-02;G7;-20.7;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-02-25 00:00:00;2023-02;Les Remparts;-86.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-03-01 00:00:00;2023-03;Chalex;-59.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-03-01 03:03:42;2023-03;Qonto;-10.8;Qonto;;FdS;Qonto;
2023-03-03 11:44:21;2023-03;M BIBOUM NYEMB ITIBI JOSEPH;1200.0;Qonto;;Conseil;M BIBOUM NYEMB ITIBI JOSEPH;
2023-03-08 10:54:33;2023-03;SAS BVI.EU FINANCE  FP;311.2;Qonto;;Crowdfunding;SAS BVI.EU FINANCE  FP;
2023-03-13 12:43:36;2023-03;ETHIFINANCE SAS;1200.0;Qonto;;Conseil;ETHIFINANCE SAS;
2023-03-13 12:48:43;2023-03;CORUM EURION;615.3;Qonto;;SCPI;CORUM EURION;
2023-03-15 00:00:00;2023-03;Chalex;-40.3;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-03-15 00:00:00;2023-03;Le 41;-8.9;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-03-20 06:27:51;2023-03;LBO - FONDS FCPR WCS 3;-32000.0;Qonto;;PE;LBO - FONDS FCPR WCS 3;
2023-03-22 00:00:00;2023-03;Daikichi        2471049;-27.6;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
