Date de la valeur (UTC);Nom de la contrepartie;Montant total (TTC)
27-10-2023 10:01:01;ETHIFINANCE SAS;2400,00
25-10-2023 10:04:24;SCPI IMMORENTE;2063,88
25-10-2023 10:01:24;EFIMMO 1;1012,80
24-10-2023 10:03:34;SCPI EPARGNE PIERRE;3175,92
23-10-2023 05:52:11;ALTAROC GLOBAL 2022 FPCI - COLLECTE;-10000,00
18-10-2023 05:26:37;DGFIP;-5738,00
16-10-2023 15:46:37;LES SHERPAS;2400,00
11-10-2023 09:59:26;CORUM EURION;943,63
10-10-2023 10:14:03;SAS GDG HOLDCO FRAGONARD FP;166,60
10-10-2023 10:13:50;SAS SGM PERSEPHONE FP;166,60
10-10-2023 10:13:46;SAS INFINI CAPITAL;240,30
10-10-2023 10:10:35;SAS BVI.EU FINANCE  FP;166,60
10-10-2023 10:03:16;SAS CASALINA  FP;275,10
10-10-2023 09:25:27;MISSION SPORT & SANTE;-350,00
04-10-2023 05:07:33;DGFIP;-11175,00
03-10-2023 10:06:08;PATRIMOINE SUR MESURE;1200,00
02-10-2023 10:14:10;ETHIFINANCE SAS;1200,00
01-10-2023 15:54:24;Qonto;-13,20
25-09-2023 09:59:52;Mangopay;21358,90
22-09-2023 09:58:10;Mangopay;3335,14
21-09-2023 09:10:35;PERSPECTIVES ADVISORY;1590,00
18-09-2023 10:09:45;PATRIMOINE SUR MESURE;1200,00
12-09-2023 10:15:03;CORUM EURION;890,42
08-09-2023 10:04:08;SAS BVI.EU FINANCE  FP;166,60
07-09-2023 10:07:30;SAS GDG HOLDCO FRAGONARD FP;166,60
07-09-2023 10:00:45;SAS SGM PERSEPHONE FP;166,60
07-09-2023 10:00:03;SAS INFINI CAPITAL;240,30
07-09-2023 09:58:25;SAS CASALINA  FP;275,10
05-09-2023 14:10:11;LES SHERPAS;2400,00
02-09-2023 10:43:30;hauthec;-1584,00
01-09-2023 15:54:43;Qonto;-13,20
04-09-2023 07:05:28;Guichar Jean-Philippe;-15933,70
31-08-2023 10:13:28;ETHIFINANCE SAS;1200,00
24-08-2023 10:03:53;SAS BVI.EU FINANCE  FP;166,60
11-08-2023 10:08:53;CORUM EURION;818,96
11-08-2023 05:28:34;GENERALI VIE SA;-400000,00
