ID_invest;Classe d actif;Plateforme;Nom;Support;Date prevue;Type de flux;Montant attendu;TVA;Devise;Commentaire
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/07/2023;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/08/2023;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/09/2023;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/10/2023;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/11/2023;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/12/2023;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/01/2024;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/02/2024;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/03/2024;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/04/2024;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/05/2024;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/06/2024;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/07/2024;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/08/2024;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/09/2024;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/10/2024;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/02/2025;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/03/2025;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/04/2025;in_versement_interet;240,3;0;EUR;-
39;Crowdlending;ClubFunding;West Retail Center / Infini Capital SAS;obligation;01/05/2025;in_versement_interet;240;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/04/2023;in_versement_interet;233,4;0;EUR;-
40;Crowdlending;ClubFunding;Saint-Jacques / SGM Persephone SAS;obligation;01/05/2023;in_versement_interet;216,6;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/02/2025;in_versement_interet;183,4;0;EUR;-
22;Crowdlending;Raizers;Hameau du Lac par Nature et Residence;obligation;28/04/2025;in_versement_interet;175;0;EUR;-
40;Crowdlending;ClubFunding;Saint-Jacques / SGM Persephone SAS;obligation;01/06/2025;in_versement_interet;167;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/12/2024;in_versement_interet;166,67;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/01/2025;in_versement_interet;166,67;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/05/2025;in_versement_interet;166,67;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/06/2025;in_versement_interet;166,67;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/07/2025;in_versement_interet;166,67;0;EUR;-
40;Crowdlending;ClubFunding;Saint-Jacques / SGM Persephone SAS;obligation;01/12/2024;in_versement_interet;166,67;0;EUR;-
40;Crowdlending;ClubFunding;Saint-Jacques / SGM Persephone SAS;obligation;01/01/2025;in_versement_interet;166,67;0;EUR;-
40;Crowdlending;ClubFunding;Saint-Jacques / SGM Persephone SAS;obligation;01/02/2025;in_versement_interet;166,67;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/05/2023;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/06/2023;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/07/2023;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/08/2023;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/09/2023;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/10/2023;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/11/2023;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/12/2023;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/01/2024;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/02/2024;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/03/2024;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/04/2024;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/05/2024;in_versement_interet;166,6;0;EUR;-
